no token: 60
								TK_ASSIGNOP,		TK_COMMENT,		TK_FIELDID,		TK_ID,		TK_NUM,		TK_RNUM,		TK_FUNID,		TK_RUID,		TK_WITH,		TK_PARAMETERS,		TK_END,		TK_WHILE,		TK_UNION,		TK_ENDUNION,		TK_DEFINETYPE,		TK_AS,		TK_TYPE,		TK_MAIN,		TK_GLOBAL,		TK_PARAMETER,		TK_LIST,		TK_SQL,		TK_SQR,		TK_INPUT,		TK_OUTPUT,		TK_INT,		TK_REAL,		TK_COMMA,		TK_SEM,		TK_COLON,		TK_DOT,		TK_ENDWHILE,		TK_OP,		TK_CL,		TK_IF,		TK_THEN,		TK_ENDIF,		TK_READ,		TK_WRITE,		TK_RETURN,		TK_PLUS,		TK_MINUS,		TK_MUL,		TK_DIV,		TK_CALL,		TK_RECORD,		TK_ENDRECORD,		TK_ELSE,		TK_AND,		TK_OR,		TK_NOT,		TK_LT,		TK_LE,		TK_EQ,		TK_GT,		TK_GE,		TK_NE,		EPSILON,		DOLLAR,		TK_ERROR,		
assignmentStmt,						-1,		-1,		-1,		42,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-1,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
singleOrRecId,						-2,		-1,		-1,		43,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-2,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		
option_single_constructed,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		44,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
oneExpansion,						-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		46,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-2,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		
moreExpansions,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		47,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
funCallStmt,						-1,		-1,		-1,		-2,		49,		49,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		49,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-1,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
outputParameters,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		50,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
inputParameters,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		52,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
iterativeStmt,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		53,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-1,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
conditionalStmt,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		54,		-1,		-2,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
